Fecha,Tecnología,Accesos
2024-04-01,Dial up,11793
2024-01-01,Dial up,11793
2023-10-01,Dial up,11793
2023-07-01,Dial up,11793
2023-04-01,Dial up,12116
2023-01-01,Dial up,12436
2022-10-01,Dial up,12446
2022-07-01,Dial up,12437
2022-04-01,Dial up,12436
2022-01-01,Dial up,12619
2021-10-01,Dial up,12861
2021-07-01,Dial up,10357
2021-04-01,Dial up,10382
2021-01-01,Dial up,10016
2020-10-01,Dial up,10016
2020-07-01,Dial up,10016
2020-04-01,Dial up,10016
2020-01-01,Dial up,9991
2019-10-01,Dial up,10128
2019-07-01,Dial up,21793
2019-04-01,Dial up,21754
2019-01-01,Dial up,21812
2018-10-01,Dial up,21814
2018-07-01,Dial up,26812
2018-04-01,Dial up,26911
2018-01-01,Dial up,27072
2017-10-01,Dial up,27444
2017-07-01,Dial up,28349
2017-04-01,Dial up,28530
2017-01-01,Dial up,28540
2016-10-01,Dial up,28545
2016-07-01,Dial up,28610
2016-04-01,Dial up,32475
2016-01-01,Dial up,32652
2015-10-01,Dial up,32542
2015-07-01,Dial up,32801
2015-04-01,Dial up,32909
2015-01-01,Dial up,38018
2014-10-01,Dial up,39324
2014-07-01,Dial up,36007
2014-04-01,Dial up,36139
2014-01-01,Dial up,36290
2024-04-01,Banda ancha fija,11544314
2024-01-01,Banda ancha fija,11621363
2023-10-01,Banda ancha fija,11535868
2023-07-01,Banda ancha fija,11395115
2023-04-01,Banda ancha fija,11239781
2023-01-01,Banda ancha fija,11229459
2022-10-01,Banda ancha fija,11195668
2022-07-01,Banda ancha fija,11078691
2022-04-01,Banda ancha fija,10946248
2022-01-01,Banda ancha fija,10611390
2021-10-01,Banda ancha fija,10476933
2021-07-01,Banda ancha fija,10075184
2021-04-01,Banda ancha fija,9852702
2021-01-01,Banda ancha fija,9637956
2020-10-01,Banda ancha fija,9561546
2020-07-01,Banda ancha fija,9346183
2020-04-01,Banda ancha fija,9021040
2020-01-01,Banda ancha fija,8802435
2019-10-01,Banda ancha fija,8783053
2019-07-01,Banda ancha fija,9142891
2019-04-01,Banda ancha fija,8938427
2019-01-01,Banda ancha fija,8626323
2018-10-01,Banda ancha fija,8451841
2018-07-01,Banda ancha fija,8320223
2018-04-01,Banda ancha fija,8083533
2018-01-01,Banda ancha fija,8009981
2017-10-01,Banda ancha fija,7842778
2017-07-01,Banda ancha fija,7696594
2017-04-01,Banda ancha fija,7401134
2017-01-01,Banda ancha fija,7277314
2016-10-01,Banda ancha fija,7223128
2016-07-01,Banda ancha fija,7178340
2016-04-01,Banda ancha fija,7097604
2016-01-01,Banda ancha fija,6874704
2015-10-01,Banda ancha fija,6952289
2015-07-01,Banda ancha fija,6902267
2015-04-01,Banda ancha fija,6783279
2015-01-01,Banda ancha fija,6699714
2014-10-01,Banda ancha fija,6559172
2014-07-01,Banda ancha fija,6559264
2014-04-01,Banda ancha fija,6428329
2014-01-01,Banda ancha fija,6362108
